Keivan	    MIST	            Claret	    SVO	                    VOID
Unsupported	ACS_WFC_F550M	    Unsupported	HST/ACS_WFC.F550M	    ACS_WFC.F550M
Unsupported	ACS_WFC_F555W	    Unsupported	HST/ACS_WFC.F555W	    ACS_WFC.F555W
Unsupported	ACS_WFC_F606W	    Unsupported	HST/ACS_WFC.F606W	    ACS_WFC.F606W
Unsupported	ACS_WFC_F625W	    Unsupported	HST/ACS_WFC.F625W	    ACS_WFC.F625W
Unsupported	ACS_WFC_F658N	    Unsupported	HST/ACS_WFC.F658N	    ACS_WFC.F658N
Unsupported	ACS_WFC_F660N	    Unsupported	HST/ACS_WFC.F660N	    ACS_WFC.F660N
Unsupported	ACS_WFC_F775W	    Unsupported	HST/ACS_WFC.F775W	    ACS_WFC.F775W
Unsupported	ACS_WFC_F814W	    Unsupported	HST/ACS_WFC.F814W	    ACS_WFC.F814W
Unsupported	ACS_WFC_F850LP	    Unsupported	HST/ACS_WFC.F850LP	    ACS_WFC.F850LP
Unsupported	ACS_WFC_F892N	    Unsupported	HST/ACS_WFC.F892N	    ACS_WFC.F892N
B	        Bessell_B	        B	        Generic/Bessell.B	    Bessell.B
I	        Bessell_I	        I	        Generic/Bessell.I	    Bessell.I
R	        Bessell_R	        R	        Generic/Bessell.R	    Bessell.R
U	        Bessell_U	        U	        Generic/Bessell.U	    Bessell.U
V	        Bessell_V	        V	        Generic/Bessell.V	    Bessell.V
Unsupported	Cousins_I	        I	        Generic/Cousins.I	    Cousins.I
Unsupported	Cousins_R	        R	        Generic/Cousins.R	    Cousins.R
Unsupported	CFHT_g	            Unsupported	CFHT/Megaprime.gS	    Megaprime.gS
Unsupported	CFHT_i_new	        Unsupported	CFHT/Megaprime.i	    Megaprime.i
Unsupported	CFHT_i_old	        Unsupported	CFHT/Megaprime.iS	    Megaprime.iS
Unsupported	CFHT_r	            Unsupported	CFHT/Megaprime.rS  	    Megaprime.rS
Unsupported	CFHT_u	            Unsupported	CFHT/Megaprime.uS  	    Megaprime.uS
Unsupported	CFHT_z	            Unsupported	CFHT/Megaprime.zS  	    Megaprime.zS
Unsupported	DDO51_f31	        Unsupported	KPNO/Mosaic.D51	        Mosaic.D51
Unsupported	DDO51_vac	        Unsupported	Unsupported	            Unsupported
Unsupported	DECam_Y	            Unsupported	CTIO/DECam.Y	        DECam.Y
Unsupported	DECam_g	            Unsupported	CTIO/DECam.g	        DECam.g
Unsupported	DECam_i	            Unsupported	CTIO/DECam.i	        DECam.i
Unsupported	DECam_r	            Unsupported	CTIO/DECam.r	        DECam.r
Unsupported	DECam_u	            Unsupported	CTIO/DECam.u	        DECam.u
Unsupported	DECam_z	            Unsupported	CTIO/DECam.z	        DECam.z
Unsupported	F070W	            Unsupported	JWST/NIRCam.F070W	    F070W
Unsupported	F090W	            Unsupported	JWST/NIRCam.F090W	    F090W
Unsupported	F115W	            Unsupported	JWST/NIRCam.F115W	    F115W
Unsupported	F140M	            Unsupported	JWST/NIRCam.F140M	    F140M
Unsupported	F150W	            Unsupported	JWST/NIRCam.F150W	    F150W
Unsupported	F150W2	            Unsupported	JWST/NIRCam.F150W2	    F150W2
Unsupported	F162M	            Unsupported	JWST/NIRCam.F162M	    F162M
Unsupported	F164N	            Unsupported	JWST/NIRCam.F164N	    F164N
Unsupported	F182M	            Unsupported	JWST/NIRCam.F182M	    F182M
Unsupported	F184	            Unsupported	JWST/NIRCam.F184	    F184
Unsupported	F187N	            Unsupported	JWST/NIRCam.F187N	    F187N
Unsupported	F200W	            Unsupported	JWST/NIRCam.F200W	    F200W
Unsupported	F210M	            Unsupported	JWST/NIRCam.F210M	    F210M
Unsupported	F212N	            Unsupported	JWST/NIRCam.F212N	    F212N
Unsupported	F250M	            Unsupported	JWST/NIRCam.F250M	    F250M
Unsupported	F277W	            Unsupported	JWST/NIRCam.F277W	    F277W
Unsupported	F300M	            Unsupported	JWST/NIRCam.F300M	    F300M
Unsupported	F322W2	            Unsupported	JWST/NIRCam.F322W2	    F322W2
Unsupported	F323N	            Unsupported	JWST/NIRCam.F323N	    F323N
Unsupported	F335M	            Unsupported	JWST/NIRCam.F335M	    F335M
Unsupported	F356W	            Unsupported	JWST/NIRCam.F356W	    F356W
Unsupported	F360M	            Unsupported	JWST/NIRCam.F360M	    F360M
Unsupported	F405N	            Unsupported	JWST/NIRCam.F405N	    F405N
Unsupported	F410M	            Unsupported	JWST/NIRCam.F410M	    F410M
Unsupported	F430M	            Unsupported	JWST/NIRCam.F430M	    F430M
Unsupported	F444W	            Unsupported	JWST/NIRCam.F444W	    F444W
Unsupported	F460M	            Unsupported	JWST/NIRCam.F460M	    F460M
Unsupported	F466N	            Unsupported	JWST/NIRCam.F466N	    F466N
Unsupported	F470N	            Unsupported	JWST/NIRCam.F470N	    F470N
Unsupported	F480M	            Unsupported	JWST/NIRCam.F480M	    F480M
galFUV	    GALEX_FUV	        Unsupported	GALEX/GALEX.FUV	        GALEX.FUV
galNUV	    GALEX_NUV	        Unsupported	GALEX/GALEX.NUV	        GALEX.NUV
GaiaBP	    Gaia_BP_DR2Rev	    Unsupported	GAIA/GAIA2r.Gbp	        GAIA2r.Gbp
Gaia	    Gaia_G_DR2Rev	    Unsupported	GAIA/GAIA2r.G	        GAIA2r.G
GaiaRP	    Gaia_RP_DR2Rev	    Unsupported	GAIA/GAIA2r.Grp	        GAIA2r.Grp
Unsupported	Gaia_BP_EDR3	    Unsupported	GAIA/GAIA3.Gbp	        GAIA3.Gbp
Unsupported	Gaia_G_EDR3	        Unsupported	GAIA/GAIA3.G	        GAIA3.G
Unsupported	Gaia_RP_EDR3	    Unsupported	GAIA/GAIA3.Grp	        GAIA3.Grp
Unsupported	Gaia_BP_MAWf	    Unsupported	GAIA/Gaia2m.Gbp_faint	Gaia2m.Gbp_faint
Unsupported	Gaia_BP_MAWb	    Unsupported	GAIA/Gaia2m.Gbp_bright	Gaia2m.Gbp_bright
Unsupported	Gaia_G_MAW	        Unsupported	GAIA/Gaia2m.G	        Gaia2m.G
Unsupported	Gaia_RP_MAW	        Unsupported	GAIA/Gaia2m.Grp	        Gaia2m.Grp
Unsupported	H158	            Unsupported	WFIRST/WFI.H158	        WFI.H158
Unsupported	Hipparcos_Hp	    Unsupported	Hipparcos/Hipparcos.Hp	Hipparcos.Hp
Unsupported	IRAC_3.6	        Spit36	    Spitzer/IRAC.I1	        IRAC.I1
Unsupported	IRAC_4.5	        Spit45	    Spitzer/IRAC.I2	        IRAC.I2
Unsupported	IRAC_5.8	        Spit58	    Spitzer/IRAC.I3	        IRAC.I3
Unsupported	IRAC_8.0	        Spit80	    Spitzer/IRAC.I4	        IRAC.I4
Unsupported	J129	            Unsupported	WFIRST/WFI.J129	        WFI.J129
Unsupported	Kepler_D51	        Unsupported	Unsupported	            Unsupported
Unsupported	Kepler_Kp	        Kepler	    Kepler/Kepler.K	        Kepler.K
Unsupported	LSST_g	            Unsupported	LSST/LSST.g	            LSST.g
Unsupported	LSST_i	            Unsupported	LSST/LSST.i	            LSST.i
Unsupported	LSST_r	            Unsupported	LSST/LSST.r	            LSST.r
Unsupported	LSST_u	            Unsupported	LSST/LSST.u	            LSST.u
Unsupported	LSST_y	            Unsupported	LSST/LSST.y	            LSST.y
Unsupported	LSST_z	            Unsupported	LSST/LSST.z	            LSST.z
gPS	        PS_g	            Unsupported	PAN-STARRS/PS1.g	    PS1.g
iPS	        PS_i	            Unsupported	PAN-STARRS/PS1.i	    PS1.i
Unsupported	PS_open	            Unsupported	PAN-STARRS/PS1.open	    PS1.open
rPS	        PS_r	            Unsupported	PAN-STARRS/PS1.r	    PS1.r
iPS	        PS_w	            Unsupported	PAN-STARRS/PS1.w	    PS1.w
yPS	        PS_y	            Unsupported	PAN-STARRS/PS1.y	    PS1.y
zPS	        PS_z	            Unsupported	PAN-STARRS/PS1.z	    PS1.z
Unsupported	R062	            Unsupported	WFIRST/WFI.R062	        WFI.R062
gSDSS	    SDSS_g	            Sloang	    SLOAN/SDSS.g	        SDSS.g
iSDSS	    SDSS_i	            Sloani	    SLOAN/SDSS.i	        SDSS.i
rSDSS	    SDSS_r	            Sloanr	    SLOAN/SDSS.r	        SDSS.r
uSDSS	    SDSS_u	            Sloanu	    SLOAN/SDSS.u	        SDSS.u
zSDSS	    SDSS_z	            Sloanz	    SLOAN/SDSS.z	        SDSS.z
Unsupported	SkyMapper_g	        Unsupported	SkyMapper/SkyMapper.g	SkyMapper.g
Unsupported	SkyMapper_i	        Unsupported	SkyMapper/SkyMapper.i	SkyMapper.i
Unsupported	SkyMapper_r	        Unsupported	SkyMapper/SkyMapper.r	SkyMapper.r
Unsupported	SkyMapper_u	        Unsupported	SkyMapper/SkyMapper.u	SkyMapper.u
Unsupported	SkyMapper_v	        Unsupported	SkyMapper/SkyMapper.v	SkyMapper.v
Unsupported	SkyMapper_z	        Unsupported	SkyMapper/SkyMapper.z	SkyMapper.z
Unsupported	Stromgren_b	        Stromb	    Generic/Stromgren.b	    Stromgren.b
Unsupported	Stromgren_u	        Stromu	    Generic/Stromgren.u	    Stromgren.u
Unsupported	Stromgren_v	        Stromv	    Generic/Stromgren.v	    Stromgren.v
Unsupported	Stromgren_y	        Stromy	    Generic/Stromgren.y	    Stromgren.y
Unsupported	Swift_B	            Unsupported	Swift/UVOT.B	        UVOT.B
Unsupported	Swift_U	            Unsupported	Swift/UVOT.U	        UVOT.U
Unsupported	Swift_UVM2	        Unsupported	Swift/UVOT.UVM2	        UVOT.UVM2
Unsupported	Swift_UVW1	        Unsupported	Swift/UVOT.UVW1	        UVOT.UVW1
Unsupported	Swift_UVW2	        Unsupported	Swift/UVOT.UVW2	        UVOT.UVW2
Unsupported	Swift_V	            Unsupported	Swift/UVOT.V	        UVOT.V
Unsupported	TESS	            TESS	    TESS/TESS.Red     	    TESS.Red
BT	        Tycho_B	            Unsupported	TYCHO/TYCHO.B	        TYCHO.B
VT	        Tycho_V	            Unsupported	TYCHO/TYCHO.V	        TYCHO.V
Unsupported	UKIDSS_H	        Unsupported	UKIRT/UKIDSS.H	        UKIDSS.H
Unsupported	UKIDSS_J	        Unsupported	UKIRT/UKIDSS.J	        UKIDSS.J
Unsupported	UKIDSS_K	        Unsupported	UKIRT/UKIDSS.K	        UKIDSS.K
Unsupported	UKIDSS_Y	        Unsupported	UKIRT/UKIDSS.Y	        UKIDSS.Y
Unsupported	UKIDSS_Z	        Unsupported	UKIRT/UKIDSS.Z	        UKIDSS.Z
Unsupported	W146	            Unsupported	WFIRST/WFI.W146     	WFI.W146
Unsupported	WFC3_IR_F098M	    Unsupported	HST/WFC3_IR.F098M     	WFC3_IR.F098M
Unsupported	WFC3_IR_F105W	    Unsupported	HST/WFC3_IR.F105W     	WFC3_IR.F105W
Unsupported	WFC3_IR_F110W	    Unsupported	HST/WFC3_IR.F110W     	WFC3_IR.F110W
Unsupported	WFC3_IR_F125W	    Unsupported	HST/WFC3_IR.F125W     	WFC3_IR.F125W
Unsupported	WFC3_IR_F126N	    Unsupported	HST/WFC3_IR.F126N     	WFC3_IR.F126N
Unsupported	WFC3_IR_F127M	    Unsupported	HST/WFC3_IR.F127M     	WFC3_IR.F127M
Unsupported	WFC3_IR_F128N	    Unsupported	HST/WFC3_IR.F128N     	WFC3_IR.F128N
Unsupported	WFC3_IR_F130N	    Unsupported	HST/WFC3_IR.F130N     	WFC3_IR.F130N
Unsupported	WFC3_IR_F132N	    Unsupported	HST/WFC3_IR.F132N     	WFC3_IR.F132N
Unsupported	WFC3_IR_F139M	    Unsupported	HST/WFC3_IR.F139M     	WFC3_IR.F139M
Unsupported	WFC3_IR_F140W	    Unsupported	HST/WFC3_IR.F140W     	WFC3_IR.F140W
Unsupported	WFC3_IR_F153M	    Unsupported	HST/WFC3_IR.F153M     	WFC3_IR.F153M
Unsupported	WFC3_IR_F160W	    Unsupported	HST/WFC3_IR.F160W     	WFC3_IR.F160W
Unsupported	WFC3_IR_F164N	    Unsupported	HST/WFC3_IR.F164N     	WFC3_IR.F164N
Unsupported	WFC3_IR_F167N	    Unsupported	HST/WFC3_IR.F167N     	WFC3_IR.F167N
Unsupported	WFC3_UVIS_F200LP	Unsupported	HST/WFC3_UVIS1.F200LP	WFC3_UVIS1.F200LP
Unsupported	WFC3_UVIS_F218W	    Unsupported	HST/WFC3_UVIS1.F218W	WFC3_UVIS1.F218W
Unsupported	WFC3_UVIS_F225W	    Unsupported	HST/WFC3_UVIS1.F225W	WFC3_UVIS1.F225W
Unsupported	WFC3_UVIS_F275W	    Unsupported	HST/WFC3_UVIS1.F275W	WFC3_UVIS1.F275W
Unsupported	WFC3_UVIS_F280N	    Unsupported	HST/WFC3_UVIS1.F280N	WFC3_UVIS1.F280N
Unsupported	WFC3_UVIS_F300X	    Unsupported	HST/WFC3_UVIS1.F300X	WFC3_UVIS1.F300X
Unsupported	WFC3_UVIS_F336W	    Unsupported	HST/WFC3_UVIS1.F336W	WFC3_UVIS1.F336W
Unsupported	WFC3_UVIS_F343N	    Unsupported	HST/WFC3_UVIS1.F343N	WFC3_UVIS1.F343N
Unsupported	WFC3_UVIS_F350LP	Unsupported	HST/WFC3_UVIS1.F350LP	WFC3_UVIS1.F350LP
Unsupported	WFC3_UVIS_F373N	    Unsupported	HST/WFC3_UVIS1.F373N	WFC3_UVIS1.F373N
Unsupported	WFC3_UVIS_F390M	    Unsupported	HST/WFC3_UVIS1.F390M	WFC3_UVIS1.F390M
Unsupported	WFC3_UVIS_F390W	    Unsupported	HST/WFC3_UVIS1.F390W	WFC3_UVIS1.F390W
Unsupported	WFC3_UVIS_F395N	    Unsupported	HST/WFC3_UVIS1.F395N	WFC3_UVIS1.F395N
Unsupported	WFC3_UVIS_F410M	    Unsupported	HST/WFC3_UVIS1.F410M	WFC3_UVIS1.F410M
Unsupported	WFC3_UVIS_F438W	    Unsupported	HST/WFC3_UVIS1.F438W	WFC3_UVIS1.F438W
Unsupported	WFC3_UVIS_F467M	    Unsupported	HST/WFC3_UVIS1.F467M	WFC3_UVIS1.F467M
Unsupported	WFC3_UVIS_F469N	    Unsupported	HST/WFC3_UVIS1.F469N	WFC3_UVIS1.F469N
Unsupported	WFC3_UVIS_F475W	    Unsupported	HST/WFC3_UVIS1.F475W	WFC3_UVIS1.F475W
Unsupported	WFC3_UVIS_F475X	    Unsupported	HST/WFC3_UVIS1.F475X	WFC3_UVIS1.F475X
Unsupported	WFC3_UVIS_F487N	    Unsupported	HST/WFC3_UVIS1.F487N	WFC3_UVIS1.F487N
Unsupported	WFC3_UVIS_F502N	    Unsupported	HST/WFC3_UVIS1.F502N	WFC3_UVIS1.F502N
Unsupported	WFC3_UVIS_F547M	    Unsupported	HST/WFC3_UVIS1.F547M	WFC3_UVIS1.F547M
Unsupported	WFC3_UVIS_F555W	    Unsupported	HST/WFC3_UVIS1.F555W	WFC3_UVIS1.F555W
Unsupported	WFC3_UVIS_F600LP	Unsupported	HST/WFC3_UVIS1.F600LP	WFC3_UVIS1.F600LP
Unsupported	WFC3_UVIS_F606W	    Unsupported	HST/WFC3_UVIS1.F606W	WFC3_UVIS1.F606W
Unsupported	WFC3_UVIS_F621M	    Unsupported	HST/WFC3_UVIS1.F621M	WFC3_UVIS1.F621M
Unsupported	WFC3_UVIS_F625W	    Unsupported	HST/WFC3_UVIS1.F625W	WFC3_UVIS1.F625W
Unsupported	WFC3_UVIS_F631N	    Unsupported	HST/WFC3_UVIS1.F631N	WFC3_UVIS1.F631N
Unsupported	WFC3_UVIS_F645N	    Unsupported	HST/WFC3_UVIS1.F645N	WFC3_UVIS1.F645N
Unsupported	WFC3_UVIS_F656N	    Unsupported	HST/WFC3_UVIS1.F656N	WFC3_UVIS1.F656N
Unsupported	WFC3_UVIS_F657N	    Unsupported	HST/WFC3_UVIS1.F657N	WFC3_UVIS1.F657N
Unsupported	WFC3_UVIS_F658N	    Unsupported	HST/WFC3_UVIS1.F658N	WFC3_UVIS1.F658N
Unsupported	WFC3_UVIS_F665N	    Unsupported	HST/WFC3_UVIS1.F665N	WFC3_UVIS1.F665N
Unsupported	WFC3_UVIS_F673N	    Unsupported	HST/WFC3_UVIS1.F673N	WFC3_UVIS1.F673N
Unsupported	WFC3_UVIS_F680N	    Unsupported	HST/WFC3_UVIS1.F680N	WFC3_UVIS1.F680N
Unsupported	WFC3_UVIS_F689M	    Unsupported	HST/WFC3_UVIS1.F689M	WFC3_UVIS1.F689M
Unsupported	WFC3_UVIS_F763M	    Unsupported	HST/WFC3_UVIS1.F763M	WFC3_UVIS1.F763M
Unsupported	WFC3_UVIS_F775W	    Unsupported	HST/WFC3_UVIS1.F775W	WFC3_UVIS1.F775W
Unsupported	WFC3_UVIS_F814W	    Unsupported	HST/WFC3_UVIS1.F814W	WFC3_UVIS1.F814W
Unsupported	WFC3_UVIS_F845M	    Unsupported	HST/WFC3_UVIS1.F845M	WFC3_UVIS1.F845M
Unsupported	WFC3_UVIS_F850LP	Unsupported	HST/WFC3_UVIS1.F850LP	WFC3_UVIS1.F850LP
Unsupported	WFC3_UVIS_F953N	    Unsupported	HST/WFC3_UVIS1.F953N	WFC3_UVIS1.F953N
Unsupported	WFPC2_F218W	        Unsupported	HST/WFPC2-WF.F218W	    WFPC2-WF.F218W
Unsupported	WFPC2_F255W	        Unsupported	HST/WFPC2-WF.F255W	    WFPC2-WF.F255W
Unsupported	WFPC2_F300W	        Unsupported	HST/WFPC2-WF.F300W	    WFPC2-WF.F300W
Unsupported	WFPC2_F336W	        Unsupported	HST/WFPC2-WF.F336W	    WFPC2-WF.F336W
Unsupported	WFPC2_F439W	        Unsupported	HST/WFPC2-WF.F439W	    WFPC2-WF.F439W
Unsupported	WFPC2_F450W	        Unsupported	HST/WFPC2-WF.F450W	    WFPC2-WF.F450W
Unsupported	WFPC2_F555W	        Unsupported	HST/WFPC2-WF.F555W	    WFPC2-WF.F555W
Unsupported	WFPC2_F606W	        Unsupported	HST/WFPC2-WF.F606W	    WFPC2-WF.F606W
Unsupported	WFPC2_F622W	        Unsupported	HST/WFPC2-WF.F622W	    WFPC2-WF.F622W
Unsupported	WFPC2_F675W	        Unsupported	HST/WFPC2-WF.F675W	    WFPC2-WF.F675W
Unsupported	WFPC2_F791W	        Unsupported	HST/WFPC2-WF.F791W	    WFPC2-WF.F791W
Unsupported	WFPC2_F814W	        Unsupported	HST/WFPC2-WF.F814W	    WFPC2-WF.F814W
Unsupported	WFPC2_F850LP	    Unsupported	HST/WFPC2-WF.F850LP	    WFPC2-WF.F850LP
WISE1	    WISE_W1	            Unsupported	WISE/WISE.W1	        WISE.W1
WISE2	    WISE_W2	            Unsupported	WISE/WISE.W2	        WISE.W2
WISE3	    WISE_W3	            Unsupported	WISE/WISE.W3	        WISE.W3
WISE4	    WISE_W4	            Unsupported	WISE/WISE.W4	        WISE.W4
Unsupported	Washington_C	    Unsupported	GCPD/Washington.C_pe	Washington.C_pe
Unsupported	Washington_M	    Unsupported	GCPD/Washington.M_pe	Washington.M_pe
Unsupported	Washington_T1	    Unsupported	GCPD/Washington.T1_pe	Washington.T1_pe
Unsupported	Washington_T2	    Unsupported	GCPD/Washington.T2_pe	Washington.T2_pe
Unsupported	Y106	            Unsupported	WFIRST/WFI.Y106	        WFI.Y106
Unsupported	Z087	            Unsupported	WFIRST/WFI.Z087	        WFI.Z087
Unsupported	Unsupported	        Unsupported	Gemini/Zorro.EO_562	    Zorro.EO_562
Unsupported	Unsupported	        Unsupported	Gemini/Zorro.EO_832	    Zorro.EO_832
Unsupported	Unsupported	        Unsupported	Keck/NIRC2.Brgamma	    NIRC2.Brgamma
